comment,debt
map fixme coastline selection dry,CODE
s profile fixme handle noise document,DOCUMENTATION
t profile fixme handle noise document,DOCUMENTATION
developer alter line suit new data class,DESIGN
take first may problematic,DEFECT
fixme i idea uz i guess unit,CODE
caution quite trusting,ARCHITECTURE
fixme handling slow timescale data,ARCHITECTURE
fixme fastslow,ARCHITECTURE
fixme assuming equal dt,ALGORITHM
old fixme terrible we gain nothing ito speed merely setting na old keep w x data longitude x data longitude e s x data latitude x data latitude n old res data latitude keep na old res data longitude keep na old naendpoints function x old isna x old x c na x old isna x length x old x c x na old x old,ARCHITECTURE
catch s use removed later time,CODE
old border col exist,CODE
fixme makes sense browser,CODE
bookmark longitudelim better,ALGORITHM
fixme use bg col delete fill,CODE
ischaracter fill isnull x metadata fillable x metadata fillable fixme handle type values p l,REQUIREMENTS
slow one line,ARCHITECTURE
slow one line,ARCHITECTURE
fixme could clever eof,CODE
null record skip bytes i guess table,CODE
fixme slow know size start,ARCHITECTURE
fixme ignoring lonlim latlim,CODE
following slower using match r refs w r nodeids fixme speed perhaps use match r nodeids latitude c latitude nodelats w longitude c longitude nodelons w,ARCHITECTURE
fixme always work,DEFECT
fixme check indeed color,CODE
fixme segments 1segments,CODE
fixme next might miss top color,CODE
q why name contain gmt nb i ve documented namespace,DOCUMENTATION
it s connection ie file q ever happen,CODE
bookmark1 code needs synch bookmark2,DESIGN
fixme i think would best handle everything i ve done case d,ARCHITECTURE
fixme issue work next lines message zlim isnull zlim null else paste zlim collapse,DEFECT
bookmark2 code needs synch bookmark1,DESIGN
next wrong tack one value unless n1,DEFECT
i could find searches seadatant maybe s form dissolved oxygen crazy make gusses,ALGORITHM
developers please pattern functions documentation uniformity developers you need change docs spots code developers marked developer etc,DOCUMENTATION
developer alter line suit new data class,DESIGN
fixme maybe look median value make guess warning ctd object lack conductivity units assuming ratio,DEFECT
handle wraparound fixme code tricky welltested esp wrt leap year,TEST
handle wraparound fixme code tricky welltested esp wrt leap year,TEST
handle wraparound fixme code tricky welltested esp wrt leap year,TEST
fixmegsw permit gsw version,REQUIREMENTS
fixmegsw permit gsw version,REQUIREMENTS
message fixme ctdmethod calling next method defined rallclassr,CODE
param recovery optional indication recovery time format described starttime this presently used oce stored result s metadata slot case user requires,CODE
changes update ocer odfctdlink,CODE
scan dnames res data scan scan fixme time goes metadata data make sense,DEFECT
permit ocestyle names wocestyle names three key variables fixme handle,REQUIREMENTS
fixme accept woce names,REQUIREMENTS
fixme sampleinterval default res metadata names names res metadata labels labels,CODE
default units fixme may bad idea,CODE
fixme setting waterdepth tricky results ve issues,DEFECT
fixme far slow,ARCHITECTURE
fixme maybe deprecated,CODE
richardsc think still need sts ts tts map,CODE
fixme in could clever singlepanel plots may better get users habit supplying xlim etc yield errors plotlm example,ALGORITHM
fixme recycle sensibly,CODE
fixme use inset,CODE
nonprojection case terrible north fixme prob,CODE
library ocedata fixme needed,CODE
fixme used nonstandardized lon,CODE
fixme next lines used loop i nt see moved,CODE
fixme detect odv type first second line see ocemagic,CODE
fixme use ocemagic,CODE
fixmegsw handle gsw,CODE
note larger case,CODE
fixme next resizable label also n2 br getoption oceunitbracket c else c,ALGORITHM
fixme probably wo nt work addtrue,DEFECT
fake first point fixme adjust params,ALGORITHM
fixme theta,ALGORITHM
fixme works extend x types,CODE
fixme works extend x types,CODE
fixme guess scale,REQUIREMENTS
fixme guess scale,REQUIREMENTS
note use latin1 avoid problem accented e used sigmatheta lines readlines file encoding utf8,CODE
fixme insist salinity temperature pressure,REQUIREMENTS
length grep end line bug regexp good new r210,DEFECT
push back header read file text vector speed the btl format reverseengineered inspecting files since i could discover documentation format therefore good chance errors code see https githubcomdankelleyoceissues1681,DOCUMENTATION
bug poor nonrobust approximation pressure,ARCHITECTURE
,CODE
fixme check salinity units,REQUIREMENTS
see wocenames2ocenames update new items added fixme almost certainly needs lot translations the next comment lists fixme i ve seen but know definitively it would great find official fixme list partly present function documented documentation fixme list source sampno btlnbr btlnbrflagw date time latitude longitude depth ctdprs ctdtmp ctdsal ctdsalflagw salnty salntyflagw oxygen oxygenflagw silcat silcatflagw nitrit nitritflagw no2no3 no2no3flagw phspht phsphtflagw,DOCUMENTATION
,CODE
fixme argument selects ctdsal salnty,CODE
fixme decode real units,CODE
fixme check see whether woceexchange always gives dates digits,CODE
fixme use s4 ctd woce res metadata units pressure list unitexpression dbar scale,DESIGN
fixme timelocation latitude longitude,CODE
jitter lat equiv 1mm avoid colocation fixme jitter imagep,DEFECT
fixme make argument,CODE
fixme find whether samplesperping always defined prior use code10x15 blocks the rstudio codediagnostic complains variable used defined i run test code problem variable defined what i know whether files always byte groupsing order least setting zero value likely cause error ever occurs i may need reorder code problems arise overriddent later prevent codediagnostic warning,TEST
note time reversal assignment data matrix fixme faster flip data matrix later,ARCHITECTURE
fixme many pings times wrong,DEFECT
p13 receiver eeprom image fixme serialnum index question corr c int16le buf offset28212 1l resinteger naoktrue package oce res p13 p13,DEFECT
fixme info could gleaned comment needed,CODE
test 01fishdt4 follows mpingbeginrangem mpingbeginrangem mpingendrangem mpingendrangem get follows range depth ie 12cm error top 20cm error bottom note diff depth fixme check depth mismatch relates sound speed b geometry small error low priority,TEST
old psi res metadata bwy res metadata bwx biosonics bwx 01deg old debug cat psi psi n sep old c sound speed inferred sal tem fixme could use pressure i suppose old r range old sv log10 slrstpow log10 r r log10 c pud10000000 psi20 corr1000 old range rev depth,DEFECT
fixme slow may need use c,ARCHITECTURE
yscale yaxp yaxp fixme allow type arg,REQUIREMENTS
strip minutes may confusing,CODE
below using eg par mai find margins if user employing layout call give right answer plot established initialized sure right term so use trick call frame establishinitialize plot call plot newtrue prevent advancing next panel layout a secondary trick also required set zero margins calling frame otherwise figure margins large error frame layout tight,DEFECT
ok done trick ps long comments given result persistent problems largemargin errors i nt want new approach get lost code,CODE
adjust palette margins mai1 fixme also alter mai2,CODE
trick code avoid autocreating breaks,DEFECT
fixme guessing best line used,CODE
fixme new one case generally graphic state confusing,USABILITY
fixme need check zclip,CODE
ensure x increase fixme check equal values,CODE
fixme many colors use,ALGORITHM
fixme decide length,ALGORITHM
fixme negation isna confusing comes col breaks together,DEFECT
drop first header line missing value line footer ignore,CODE
guess probably dangerous,CODE
fixme document part,DOCUMENTATION
fixme ignoring decimation may best anyway,ALGORITHM
fixme ignoring decimation may best anyway,ALGORITHM
fixme kelley,PEOPLE
fixme kelley,PEOPLE
image dimensions l getitem info panchromaticlines getitem info panchromaticsamples dimpanchromatic c l reverse l getitem info reflectivelines getitem info reflectivesamples dimreflective c l l getitem info thermallines getitem info thermalsamples dimthermal c l select certain lines the header short steps case data format changes later adjustment required delete grouping commands select assignments remove leading whitespace remove trailing whitespace,DEFECT
fixme numeric,CODE
possibly needed utm possibly needed utm,CODE
fixme assume others 1byte like landsat7,CODE
utm true fixme make arg,CODE
fixme clean code,CODE
fixme clean code,CODE
fixme diminishing need ur numbers lonlat space,CODE
necessitated use n case isolated islands avoid getting confused eg view two islands fixme kludge avoid weird horiz lines fixme would better complete polygons fixme filled it might smart c,CODE
fixme ok dc asnumeric quantile 13length x narmtrue fixme criterion bad dc bad diff range x narmtrue,CODE
length options oce1181 browser fixme finish polygons bit tricky eg fixme create series points trace along edge fixme visible earth,REQUIREMENTS
fixme uniroot method looks good side2 try side1 also smaller increments slower catch labels,ARCHITECTURE
fixme i wonder i nt use optimize method i use side1 well maybe i ought try i sort think bracketuniroot method best note issue i tol uniroot set 1deg nutty,CODE
fixme islogical grid grid grid rep message,CODE
remove islandlake entirely offscale this solution antarcticastereographic problem issue line segment two offscale points might intersect box for reason done trimtrue,DEFECT
fixme meridians zones added later change depending fixme pretty operation,ALGORITHM
determining grid automatically proved quite tricky code near spot reworked repeatedly at one time code near spot looked par usr tried invert corners get idea scale failed winkel tripel wintri projection goes seems infinite loop trying inverse point beyond edge earth disk i think fails disk edge when oce proj4 code embedded within src problem i workaround this workaround reported proj4 community i expect sometime year problem go away given present code focusses near centre plot region a region might correspond one tick axes assuming ticks per side inverse mapped corners used determine tick scale rather use pretty scale determined list standards maps 5deg increments good view 4deg,ALGORITHM
if pole present put longitude lines around world matter else true,ALGORITHM
fixme maybe use maplines,CODE
problems eg lat lines nt complete see blog 65png also problem diagonal line see blog 64png remove ugly horizontal lines occur projections show edge earth,DEFECT
fixme number next line might need adjustment,CODE
fixme use maplines,CODE
fixme get options x revisit next lines,CODE
mapcheckpolygons tries fix longitude cutpoint problem otherwise leads lines crossing graph horizontally x value sometimes alternate one end domain z matrix z,DEFECT
important whether write breaks breakssmall important heart several issues including important issues possibly issue522 w zval breaks issue655 w zval breaks sometime later w zval breaks small,CODE
findinterval requires 2nd arg order fixme need reorder findinterval next bad lengthens col bad order breaks bad breaks breaks bad col col,ALGORITHM
fixme works zone positive ok,CODE
sigma tau needed calculating k gamma sigma alpha1 cos xiprime cosh etaprime alpha2 cos xiprime cosh etaprime alpha3 cos xiprime cosh etaprime tau alpha1 sin xiprime sinh etaprime alpha2 sin xiprime sinh etaprime alpha3 sin xiprime sinh etaprime,ALGORITHM
use proj4 set still exists fixme,CODE
fixme add,CODE
note formatcsv part url changed formattxt get metadata file but dealing bit coding download stage readmet stage i nt think worthwhile the better scheme may users move xml format instead sticking csv format,ARCHITECTURE
fixme handle daily data column names differ,REQUIREMENTS
crude method reorder field first index whether 2d 3d 4d although i m sure 4d items occur world ocean atlas,CODE
fixme maybe employ code get data oce objects data slotnames x oce objects x x data try x dataframe x silenttrue class tryerror stop coerce data dataframe,DESIGN
fixme probably gives wrong length,DEFECT
fixme use figure geometry avoid axis cutoff,CODE
fixme element element extend follows allow string numbers length grep ww which2 w asnumeric ww,CODE
fixme probably,DESIGN
fixme nbeam dim x data v,CODE
fixme newer adp code probably better adv code,CODE
fixme,DEFECT
fixme,DEFECT
fixme,DEFECT
fixme,DEFECT
fixme,DEFECT
fixme handle individual cases,DESIGN
fixme,CODE
fixme heading tsslow fixme heading tsslow,ARCHITECTURE
fixme make work sections ctd etc,CODE
fixme decide whether slow variables altered,ARCHITECTURE
test suite files big looks fine manually following test file f dcg1sst readg1sst f,TEST
fixme fails quieten arrows,DEFECT
commentout next line issue since trimts fails times na ends trimts x xlim,CODE
fixme obey mar,CODE
case,CODE
fixme formal argument,CODE
fixme nt w why also,DESIGN
fixme i think violates 1a rule creating new data fixme i retaining since s years old fixme adp adv handled differently anyway is fixme fastslow variable issue,ARCHITECTURE
fixme i think violates 1a rule creating new data fixme i retaining since s years old fixme adp adv handled differently anyway is fixme fastslow variable issue,ARCHITECTURE
fixme s4,DESIGN
fixme possibly aquadopp tsslow,ARCHITECTURE
fixme check worked,CODE
fixme may things,CODE
fixme hardwiring repeated elsewhere,CODE
rbr tdr substr line fixme obsolete removed fall,CODE
fixme obsolete removed fall,CODE
old deparse unhelpful file variable calling code old processinglog paste deparse matchcall sep collapse,USABILITY
fixme pcadcp different,CODE
fixme need advsontek non adr,REQUIREMENTS
fixme document data type moored tide gauge returns data frame,DOCUMENTATION
guess timezone fixme s different column,CODE
fixme obsolete removed fall,CODE
try get global attributes inelegantly permit first letter lowercase uppercase,CODE
fixme i twiddling numbers get labels xaxs r fixes fixme i need anymore,ALGORITHM
bookmark 1b special trick get fractional seconds cf bookmark 1a,CODE
the foolproof depending xlim might supplied,ARCHITECTURE
fixme zsub oceaxisposixct,CODE
we need oneday offset time feb excel thinks leap year we check day count see https githubcomdankelleyoceissues1591 discussion note return na day excel produces feb fact nonexistent day i think ought inform oce users fact na excel thinks leap year,DEFECT
jul july jul july 2013jul01 2013july01 01jul2013 01july2013 2013jul01 2013july01 fixme permit time vector,REQUIREMENTS
store local values tricky cases reversing axes etc,ARCHITECTURE
risky code look first match isolate rhs eqquality,CODE
fixme water column depth sensor depth fixme sensible,CODE
fixme,CODE
stage insert metadata odfheader holding entire odf header info fixme add types starting adcp perhaps,REQUIREMENTS
fixme types,CODE
fixme right,CODE
fixme accept imlstyle flags eg qpsal salinity,REQUIREMENTS
fixme delete later recoding get individualized na codes the mess hides warnings nonnumeric missingvalue codes,CODE
changes update ctdr odfctdlink,DESIGN
fixme the next block tries infer single numeric na value fixme possible otherwise returns first value perhaps fixme keeping values using individual columns fixme nonnumeric values seem restricted times times seem never fixme equal nullvalue b files i ve seen single fixme numerical nullvalue c elements fixme header columns,DEFECT
message str x data str x data time print x data time print x data time print islanguage substitute subset str substitute subset prior next line r eval substitute subset x data parentframe but failed calling subset within functions see github fixme fill issue link issue submitted http r789695n4nabblecomgettingenvironmentfromquottopquotpromisetd4685138html question regarding environments i used parentframe subset definitions tests suggesting parentframe work generally within flat code b within function passed items go subset,TEST
fixme in could clever singlepanel plots may better get users habit supplying xlim etc yield errors plotlm example,ARCHITECTURE
some rsk files deployments nt use anyway deployments rsqlite dbreadtable con deployments,ALGORITHM
get time stamp note trick making floatingpoint avoid problem r lacks bit integers,DEFECT
when numeric equal query table sort times limits meaningful this code required slower dates character,ARCHITECTURE
need check datasetid column rskversion if extract data matrix,CODE
fixme longnames utf8 characters andor spaces should coerce ascii spaces least recognize fields rename eg dissolved o2 oxygen remove spaces,CODE
fixme developer sets temporary undocumented debugging,DOCUMENTATION
this code bit tricky modify existing pressure inplace,CODE
this code bit tricky modify existing pressure inplace,CODE
fixme work rbr rsks nt contain cond12,DEFECT
fixme need read lot lots events is better way,CODE
fixme is right,CODE
fixme may int time,CODE
read whole file s tricky bisect times text data,ALGORITHM
fixme may int time,CODE
fixme i want,CODE
fixme able set,USABILITY
developer alter line suit new data class,DESIGN
fixme check see starttime exists first,CODE
trim stations zero good data fixme brittle addition new metadata,REQUIREMENTS
fixme sqrt helps test case sure make sense though dk,TEST
fixme coastline code reproduced sectionr dry,ALGORITHM
fixme i think missing means autopick null means none,CODE
fixme contours nt get plot edges,DEFECT
fixme might need check whetherhow xx used later,CODE
fixme keep,CODE
fixme nt next line work types,DEFECT
fixme testing,TEST
double resolution although perhaps needed,CODE
fixme might need check whetherhow xx used later,CODE
grid regular need first station unless which data fixme checking first value,DEFECT
sum isfinite zz browser fixme1583,DEFECT
fixme value used it fails arctic data,BUILD
fixme maybe scan thing might work better anyway,ARCHITECTURE
fixme latitude lat confusing,CODE
bug handle variables interpolate flag,DEFECT
fixme wrong formulae,DEFECT
get length fixme silly i know ensure timezone utc note sysdate gives null tzone,CODE
get yday etc fixme silly i know,CODE
fixme using fortranstyle int mod must check leapyear cases,CODE
note accessor return temperature its90 regardless stored similarly pressure dbar salinity fixme unit use,CODE
fixme specialcase object types,CODE
fixme dk i sure i like following since uses standardized rho0 but s official source i think must check unesco book,CODE
fixmegsw add gsw version,CODE
fixme loop slow done c like swcstp,ARCHITECTURE
culkin smith fixmegsw add gsw version,REQUIREMENTS
fixmegsw add gsw version,REQUIREMENTS
fixme still best way,CODE
fixmegsw add gsw version,REQUIREMENTS
fixme avoid loops,CODE
fixme right equations state i doubt,ALGORITHM
fixmegsw need gsw version c library dec,ALGORITHM
fixmegsw need gsw version c library dec,ALGORITHM
note use local gravity gsw defined use value,CODE
fixme approximation sound speed ms convert khz,CODE
radians per degree tref isodate tz utc ever used tref centraltime used previous dk branch early,CODE
fixme offsettrend removal explicitly amplitude coef phase p pall,DEFECT
fixme inference calculation done match srcttidev13betattidem468 srcforemantide12r2f422,DEFECT
ftesting false fixme ftesting the regression gives us intercept call z0 ftesting indices c indices index z0 ftesting name c z0 name ftesting freq c freq ftesting,TEST
fixme unit u v ttidem482 suggests degrees foreman s tide12r2f399 suggests u v cycles consistent pawlowicz s ttidem451 we convert vu1 vu2 degrees ttidem,REQUIREMENTS
fixme sign foreman,CODE
q timezone,CODE
the following somewhat provisional hack get around tendency plot produce latitudes past poles bug use par pin seems mess resizing aqua windows dy dx,DEFECT
fixme seems x mixed aspdydx,DEFECT
data may extend across plot region lonrange range x longitude narmtrue latrange range x latitude narmtrue,CODE
fixme dk sometimes length i m sure fixme dk figured inspection files,DEFECT
fixme add units,CODE
caution quite trusting,ARCHITECTURE
fixme detection end header robust,ARCHITECTURE
fixme assumes metric,CODE
fixme next uses getburst getbursthr i understand format,TEST
fixme next tests fail store ahrs 3d array databursthrahrsrotationmatrix,TEST
fixme check beam2xyzaveragematlab print beam2xyzaveragematlab,TEST
why wrong is unit problem cm,DEFECT
nb header i suppose refers whole instrument d3 numberofbeams slantbeam samples verticalbeam samples but interleavedburst mode i guess right number in case i sidestepped test,TEST
fixme i think nbeams might wrong burst,DEFECT
know beam fixme look text things eg beam cells etc d3 text text grep cy,CODE
fixme,DEFECT
remaining to do see https githubcomdankelleyoceissues1122 bphasedoxy2 c1phasedoxy c2phasedoxy frequencydoxy humiditynitrate ibph phasedelaydoxy rphasedoxy tphasedoxy,REQUIREMENTS
chapter page fixme previously unintelligble tz et exact,TEST
testing values worked fixme replace numbers found,TEST
zlim next call ignored fixme add test first cm,TEST
fixme commentedout data lines indicate things done,TEST
developer note keep synch rallclassr manroxygeninitializeflagschemer,DOCUMENTATION
i nt like na flags,TEST
fixme add tests data,TEST
fixme add tests data,TEST
fixme add tests data,TEST
fixme add tests data,TEST
fixme add tests data,TEST
i dump files whenever i download new data these files go back years i think,TEST
fixme yield warning run test suite expectwarning readoce localdatactd989111p1dntxt nas introduced coercion,TEST
we test i386windows early rgdal test machine version coding error relating using undefined variable named nas cause failure build,TEST
q tol0001 fail,TEST
q tol1 fail,TEST
q much difference q tol0001 fail,TEST
q tol1 fail,TEST
fixme following works manually fails rstudio build expectequal conductivityunit unit expression sm cnv ratio odf,BUILD
actually work rsk file,TEST
table contents rho sigma potential temperature temperature scales absolute salinity conservative temperature sound speed freezing temperature specific heat adiabatic lapse rate alpha beta swstrho sound absorption unesco viscosity unesco thermal conductivity unesco electrical conductivity depth pressure fixme incomplete spiciness,REQUIREMENTS
z0 special bug fixme,DEFECT
bug broken,DEFECT
store unevaluated calls,CODE
store unevaluated calls,CODE
temporary hack predictiveerror call posteriorsurvfit two separate conditioning times,CODE
print priors interceptcoefs called internally printpriorsummarystanreg param p named list prior stuff param txt header printed param formatters list two formatter functions like fr2 fr3 defined priorsummarystanreg the first used format numbers except adjusted scales second function used this kind hacky replaced point,CODE
nocov start,TEST
nocov end,TEST
useless assignments pass r cmd check,BUILD
todo change fixed threshold option,USABILITY
i remember i calling dropterms get rid intercept mt dropterms mt dropx xint,DESIGN
work around jagam bug,DEFECT
useless assignments pass r cmd check,BUILD
nocov start code unused weights interpreted number trials binomial glms,TEST
nocov end,TEST
nocov start,TEST
nocov end,TEST
nothing nocov start family already checked,TEST
nocov end,TEST
todo change fixed threshold option,USABILITY
result errors eg poisson draws prior weird,DEFECT
nocov start,TEST
nocov end,TEST
this file intended used installation process nocov start,TEST
nocov end,TEST
normal prior adaptdelta user override,CODE
cauchyt1 prior adaptdelta user override,CODE
tests use sampling instead optimizing latter fails,TEST
fixme,DEFECT
links identity expectequal coef fit coef ans tol weird,CODE
fails many cases compareglmer logbili year id gaussian,CODE
fails cases testthat coefs stanjm stanglmer bernoulli compareglmer ybern year xbern id binomial,TEST
temporal solution applying isimip method,CODE
todo handle exception model overspecified https statethzchpipermailrhelp2000january009833html,REQUIREMENTS
todo vcf ll need odepend variant annotation isnull chrs chrs trycatch ascharacter seqnames rowranges data errorfunction e return null todo summarized experiment,CODE
todo document export,DESIGN
todo check s valid genesdata,CODE
todo check s valid genesdata,CODE
todo,CODE
todo should check makes sense leave user,USABILITY
plot horizontal lines nothing i nt like consistency might good plot something,REQUIREMENTS
todo reimplement using kptext datapanel ideogram keep check fits code,CODE
todo with change add possibility adjust cytoband labels position,CODE
idea should add possibility color column specifying color cytoband if present would take precendence giestain maybe could also add separate parameter specify column name giestain color info that would grow function quite lot if cytobands object giestain attribute,REQUIREMENTS
todo since code growing shared function kpaddcytobands merge internal function keep two separate functions public api,DESIGN
todo add cytobands parameter allow explicitly passing cytobands function call instead relying available karyoplot object,DESIGN
todo should return ymax values instead using last one,CODE
todo if data simplerlelist try convert granges testing region set formats used,TEST
to get kparea plot real coverage flat tops need build granges two elements per range one start one end note breaks showcov0false todo make kparea kplines deal nas data set coverage0 na,DEFECT
todo add checks windowsize numeric,CODE
add empty latestplot information todo return,TEST
get positions transcripts nt overlap todo add transcript name length avoid overlapping,CODE
todo this could vectorized tapply per gene bins object inside apply transcript get position initialize transcript counter,ALGORITHM
question how axis kphorizon relate should return values latest plot help creating legend axis,ALGORITHM
todo make parameter numbeziersegments50 document,DOCUMENTATION
plot todo remove cex lwd lty col present,CODE
todo adjust positioning algorithm zoom active labels fall plotregion todo implement vertical label displacement accomodate labels plot,ALGORITHM
sort everything chr start we need sorted non overlapping algorithm will problematic non ucsc genes chr order,CODE
todo should reorder parameters specially parameter passed dots length datapoints,CODE
todo per chromosome this problematic dense plots idea if get reverse function ccf could work labels time reverse transform plot coordinates genome coordinates call plotting functions,ALGORITHM
todo update use togranges internally but file bed file tabix index available load regions visible plotregion using rtracklayer import we might need check index available since overhead expected trying load part bed file,BUILD
todo add parameter specify center default start xplotx0plot end xplotx1plot,CODE
todo check data valid detaillevel,CODE
todo implement plot,REQUIREMENTS
todo implement plot params plottypes horizontal data ideogram,REQUIREMENTS
parameters check todo finish checks genome,CODE
check invalid genomes fixit the error trapped trycatch propagate expectmessage getcytobands genome invalidgenome,DEFECT
bug kpaddcytobands fails plottype,DEFECT
todo check genomes,TEST
todo,TEST
todo extend testing,TEST
todo extend testing,TEST
todo do prepareparameters4,TEST
errors todo error condition isna longer could return better error messages,TEST
hack,CODE
hack cran check,BUILD
correct bounded parameters dodgy i know,CODE
hack get past cran check,BUILD
hack get past cran,BUILD
hack get past cran check length age,BUILD
hack get past cran check,BUILD
hack get past cran,BUILD
make check happy wrt rowsums call better way rowsums isna data work,BUILD
weirdo format,CODE
probably source incorrect the handbook research synthesis metaanalysis cooper hedges valentine p sd sqrt n1n2 n1 n2 dd2df n1n2 df,DEFECT
todo pop length bins must wider length data bins boundaries bins need align ss manual also checked within ss create fatal error,DEFECT
todo need things like change age matrices todo change data vectors specified,CODE
if nt use structure get expected value nt need print nt need todo check right it seriously slow om write uncessary calcomp data,ARCHITECTURE
now figure data types need om sampling necessarily em for special cases could different based different algorithms,ALGORITHM
todo correct wtatage,CODE
todo necessary check remove add test,TEST
todo use r4ss ssreadctl pass control list rather readlines,DESIGN
todo way sschangepars written means necessary write file may need explore ways file need written ctl r object passed back changes,CODE
todo add ability estimate extra se ctllist qsetup add extrase,REQUIREMENTS
todo add ability turn advanced options script for provide informative error,REQUIREMENTS
todo change script used time varying parameters already model todo variable added years need use timevarying check change init value ctl file instead time varying case might best separate function,REQUIREMENTS
for stop time varying parameters specified todo make existing time varying structure retained check eliminated,ALGORITHM
todo make necessary run model file greater want use sr params,REQUIREMENTS
write manipulated files todo may want make ctl file standard commenting going run om except end eventually perhaps using ssreadwritectl instead useful regard,DOCUMENTATION
todo may want add labels,USABILITY
todo find iteration value set,CODE
other calcs todo change indiv spreadsheet level find get output ssoutput,ALGORITHM
todo move val1std stddev column pars need todo move time series values time series data frame todo move point estimates scalar data frame,CODE
add code divide id different codes species parse scenarios columns plotting later use old code,CODE
todo sex model may want use rather separate lines sex this loosens restrictions sex ratio context em,CODE
todo add lengthstratified,CODE
if additional argument checks todo maybe turn warning instead,CODE
ages maybe would better parameters essagesproportion which divide essagesallequal sets age bins eg todo implment adding effective sample size agesthink user friendly way start implementing essages divides nsampages can modify flexible future,USABILITY
sometimes draw fish age class resulting nan for replace filler values todo fix placeholder values missing age bins,DEFECT
it appears first three lines need reason todo peter fix need,PEOPLE
ach i m going motto think why enter year wtatage data,CODE
sample i used loop keep things understandable could use apply also,CODE
create empty list store lengths weights todo could bug seq seqlen,DEFECT
todo make null em created om internally within ss3sim eg runss3sim function,DESIGN
todo feature weight index,CODE
todo maybe manipulate om scenario only ca nt done parallel may faster om model runs scenario parallel test then om created copied folder along em sampled iteration,ARCHITECTURE
specification indexparams need,CODE
todo rather write expdata file datlist expdata rm expdata,CODE
sample om read datfile manipulate list object write back file end running em todo use expdata rather reading file,CODE
add error empirical weightatage comp data note arguments passed function s functionality turned setting wtatage switch if s ss ignore wtatagedat file need turn like data todo check section wtatage implementation changed,ALGORITHM
write log file todo pull log file writing separate function update current arguments,USABILITY
pause reduce average cpue use,ARCHITECTURE
todo eventually remove captureoutput r4ss uses verbose capture output sschangepars,CODE
need input check fleets maybe check present age length comps exclude neither tuning methods mi francis,CODE
todo i think works delete files old runs run new directory think make real check,DEFECT
todo make general share params across fleets,DESIGN
todo add tests testthat changedata works binning tail compression lcomp constant,TEST
getrecdevs pretty simple need test,TEST
todo write expectation ensure sampling done correctly could regression test,TEST
try using different bins lbinlo lbinhi equal note done way samplecalcomp function currently written,CODE
todo rework tests currently failing,TEST
the isna little overkill,CODE
todo this function respect order factored variable this could potentially problem although probably theoretical,CODE
does nt work magrittr expected,DEFECT
there kind floating error causes offset value values,DEFECT
there kind floating error causes offset value values,DEFECT
there kind floating error causes offset value values,DEFECT
this nt allowed readonly filesystems see https githubcomgforgegmiscissues36,DEFECT
i need include unknown reason test fails r cmd check mode,BUILD
ugly start need fix,DEFECT
not using piping fails metrics missing,CODE
this quite hack awssignature locatecredentials nt return valid aws object makes names trying detect case remap since quite likely users try use,DEFECT
warn test tagging need sts tagsession resource arn aws iam xxxxxxxx roles3automatedtests,TEST
axis ticks assume ticks never wanted make things pretty cluttered looking,REQUIREMENTS
keep track many extra columns added used assimilateplot function,DESIGN
why difficult,CODE
fixme add body column getnewsheaders,CODE
we nt put top write functions might fail case would deleted existing path nothing,DEFECT
annoyingly writemm nt take connection objects,DESIGN
multiple gem groups reffun nt work doubledigits properly hence,DEFECT
fails give samples different gene sets,DEFECT
error dirfile create fails even though nt exist,DEFECT
ok stanmetaheaderhpp problematic want warn already exists s,CODE
ca nt fail,DEFECT
release reminders devtools nocov start,TEST
nocov end,TEST
modify namespace output instructions,DESIGN
question happens stanfiles present think staninitcpp still present otherwise package nt compile namespace usedynlib stanmetaheadercpp let s say,DESIGN
roxygen2 ca nt overwrite namespace unless created trick thinking add rstan stuff else get errors,DOCUMENTATION
fixme,CODE
check roxygen documentation todo stop test roxygen2 found,DOCUMENTATION
todo new function annotate hits object sizeerror localbperror remotebperror,DESIGN
workaround biostrings pairwisealignment bug,CODE
todo replace efficient longest common substring function instead sw massive mismatchgap penalty,ARCHITECTURE
todo improve classification complex events,DOCUMENTATION
todo filter translate back ordinals passed us,REQUIREMENTS
variantannotation bug sv row names unique ensure names defined,CODE
hack ensure exists even zero record vcfs,CODE
another workaround single breakend variants turning empty string,CODE
todo does delly write two records full inv delly tra https groupsgooglecomforum msgdellyusers6mq2jubrarybjmmrbh3gaaj,DEFECT
hack add new seqlevels required,CODE
hack add new seqlevels required,CODE
todo remove cirpos gridss entirely,BUILD
bind2rows obj1 obj2 bind2cols obj1 obj2 either obj huxtable new one created properties copied downacross default newhuxtable called data obj1 obj2 new object properties set merging properties two old ones using mergepropertiesacrossdown newobj obj1 obj2 autoformat new columns assuming nt merged properties across should option maybe,REQUIREMENTS
quick hack latex,BUILD
guess runs assertpackage knitr,BUILD
knitr ishtmloutput nt work rhtml files,BUILD
add top row first hhline color taken cells,CODE
reverse think b aligns bottom text baseline really work short text,CODE
xxx way speed dcidx cells run point,ARCHITECTURE
turn character strings nt capture local information yet,CODE
mac tempdir gets double slash path screws texi2pdf you use normalizepath nonexistent file work latexfile normalizepath tempfile fileext tex mustwork true,CODE
ca nt use conventional string padding colour strings instead horrible hack uses uncoloured widths adds borders find,CODE
return empty cells we nt use s nonbreaking spaces returned decimalpad excluded risky might screw locales,CODE
strwrap treats nonbreaking spaces differently breaking spaces fuck things decimal padding so end spaces become nonbreaking,CODE
